SNMP sw1_ifip table:
1.3.6.1.2.1.4.20.1.5.10.0.31.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.32.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.33.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.34.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.35.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.36.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.37.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.124.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.125.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.126.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.127.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.128.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.129.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.0.130.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.10.0.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.20.0.1 = 18024
1.3.6.1.2.1.4.20.1.5.10.101.14.2 = 18024
1.3.6.1.2.1.4.20.1.5.172.16.1.1 = 18024
1.3.6.1.2.1.4.20.1.5.172.16.2.1 = 18024
1.3.6.1.2.1.4.20.1.5.172.16.3.1 = 18024
1.3.6.1.2.1.4.20.1.5.172.16.10.1 = 18024

